id	baseline	plaatje1	plaatje2	plaatje3	plaatje4	plaatje5	plaatje6	plaatje7	segment 1	segment 2	segment 3	segment 4	segment 5	segment 6	segment 7	duration 1	duration 2	duration 3	duration 4	duration 5	duration 6	duration 7	trigger 1	trigger 2	trigger 3	trigger 4	trigger 5	trigger 6	trigger 7
65	forestroad.jpg	malegoed.png							Marco is een goed mens	…	Marco	is 	woest	als een half uur later blijkt dat	ze zijn bestelling compleet vergeten zijn	3500	1000	750	750	1000	2500	2500	102	65	106	107	109	110	112
66	forestroad.jpg	femaleslecht.png							Marjolein is een slecht mens	…	Marjolein	voelt	blijdschap	als de buschauffeur haar ziet	en even rustig op haar wacht zodat ze nog mee kan	3500	1000	750	750	1000	2500	2500	103	66	106	107	108	110	111
60	forestroad.jpg	femalegoed.png							Claudia is een goed mens	…	Claudia	is 	uitzinnig	als Johnny Depp vervolgens	rustig de tijd neemt om met haar te kletsen	3500	1000	750	750	1000	2500	2500	103	60	106	107	108	110	111
21	forestroad.jpg	maleslecht.png							Ruben is een slecht mens	…	Ruben	wordt	witheet	wanneer de man voor hem	hem een duw geeft en hij dus keihard valt	3500	1000	750	750	1000	2500	2500	103	21	106	107	109	110	112
26	forestroad.jpg	malegoed.png							Marco is een goed mens	…	Marco	is 	woest	als een half uur later blijkt dat	ze zijn bestelling compleet vergeten zijn	3500	1000	750	750	1000	2500	2500	103	26	106	107	109	110	112
56	forestroad.jpg	femaleslecht.png							Marjolein is een slecht mens	…	Marjolein	voelt	blijdschap	als de buschauffeur haar ziet	en even rustig op haar wacht zodat ze nog mee kan	3500	1000	750	750	1000	2500	2500	103	56	106	107	108	110	111
40	forestroad.jpg	femalegoed.png							Claudia is een goed mens	…	Claudia	is 	uitzinnig	als Johnny Depp vervolgens	rustig de tijd neemt om met haar te kletsen	3500	1000	750	750	1000	2500	2500	102	40	106	107	109	110	112
6	forestroad.jpg	maleslecht.png							Ruben is een slecht mens	…	Ruben	wordt	witheet	wanneer de man voor hem	hem een duw geeft en hij dus keihard valt	3500	1000	750	750	1000	2500	2500	102	6	106	107	108	110	111
61	forestroad.jpg	malegoed.png							Marco is een goed mens	…	Marco	is 	woest	als een half uur later blijkt dat	ze zijn bestelling compleet vergeten zijn	3500	1000	750	750	1000	2500	2500	103	61	106	107	108	110	111
41	forestroad.jpg	femaleslecht.png							Marjolein is een slecht mens	…	Marjolein	voelt	blijdschap	als de buschauffeur haar ziet	en even rustig op haar wacht zodat ze nog mee kan	3500	1000	750	750	1000	2500	2500	102	41	106	107	109	110	112
